semester,course,time
Spring 2025,COSC 3321 - Digital System Design,TTh - 02:00 PM - 03:15 PM
Spring 2025,COSC 3318 - Database Management Systems,TTh - 09:30 AM - 10:45 AM
Spring 2025,COSC 5301 - Quantitative Foundations of Computer Science,TTh - 11:00 AM - 12:15 PM
Fall 2024,COSC 3318 - Database Management Systems,MWF - 11:00 AM - 11:50 AM
Fall 2024,COSC 3318 - Database Management Systems,TTh - 02:00 PM - 02:50 PM
Fall 2024,COSC 2347 - Special Topics (Programming in Python),MWF - 03:00 PM - 03:50 PM
Summer 2024,DFSC 5340 - Special Topics in Digital Forensics, TTh - 09:30 AM - 10:45 AM
Spring 2024,COSC 3321 - Digital System Design,TTh - 02:00 PM - 03:15 PM
Spring 2024,COSC 3318 - Database Management Systems,TTh - 09:30 AM - 10:45 AM
Spring 2024,COSC 5301 - Quantitative Foundations of Computer Science,TTh - 11:00 AM - 12:15 PM
Fall 2023,COSC 3318 - Database Management Systems,MWF - 11:00 AM - 11:50 AM
Fall 2023,COSC 3318 - Database Management Systems,TTh - 02:00 PM - 02:50 PM
Fall 2023,COSC 2347 - Special Topics (Programming in Python),MWF - 03:00 PM - 03:50 PM
Spring 2023,COSC 3321 - Digital System Design,TTh - 02:00 PM - 03:15 PM
Spring 2023,COSC 3318 - Database Management Systems,TTh - 09:30 AM - 10:45 AM
Spring 2023,COSC 1436 - Programming Fundamentals I (Java),TTh - 11:00 AM - 12:15 PM
Fall 2022,COSC 3318 - Database Management Systems,TTh - 09:30 AM - 10:45 AM
Fall 2022,COSC 3318 - Database Management Systems,TTh - 11:00 AM - 12:15 PM
Fall 2022,COSC 2347 - Special Topics (Programming in Python),MW - 03:30 PM - 04:45 PM
Spring 2022,COSC 3321 - Digital System Design,TTh - 02:00 PM - 03:15 PM
Spring 2022,COSC 3318 - Database Management Systems,TTh - 09:30 AM - 10:45 AM
Fall 2021,COSC 3318 - Database Management Systems,TTh - 09:30 AM - 10:45 AM
Fall 2021,COSC 3318 - Database Management Systems,TTh - 11:00 AM - 12:15 PM
